Date(NZST),SoilMoisture(%)
20090101,53.3
20090101,52.9
20090101,52.9
20090101,52.8
20090101,52.7
20090101,52.6
20090101,52.9
20090101,53
20090101,52.9
20090101,53.1
20090101,52.9
20090101,53.1
20090101,52.7
20090101,52.9
20090101,52.6
20090101,52.3
20090101,52.1
20090101,52.2
20090101,51.8
20090101,51.6
20090101,51.5
20090101,51.3
20090101,51.3
20090101,50.9
20090102,51.2
20090102,51.1
20090102,51
20090102,51.2
20090102,51.1
20090102,51.1
20090102,51.1
20090102,50.9
20090102,51
20090102,51.1
20090102,51
20090102,50.8
20090102,50.9
20090102,50.6
20090102,50.7
20090102,50.8
20090102,50.5
20090102,50.7
20090102,50.6
20090102,51.8
20090102,53.7
20090102,54.2
20090102,53.7
20090102,57.8
20090103,59.7
20090103,60.2
20090103,61.8
20090103,61
20090103,59.9
20090103,58.7
20090103,57.8
20090103,57.4
20090103,56.9
20090103,57.2
20090103,56.9
20090103,56.5
20090103,56.5
20090103,56.3
20090103,56
20090103,55.8
20090103,54.4
20090103,54.2
20090103,53.8
20090103,53.8
20090103,53.8
20090103,53.6
20090103,53.2
20090103,53.3
20090104,53.1
20090104,53.2
20090104,53
20090104,52.9
20090104,52.9
20090104,52.7
20090104,53.1
20090104,52.8
20090104,52.8
20090104,52.6
20090104,52.7
20090104,52.6
20090104,52.5
20090104,52.3
20090104,52.5
20090104,52
20090104,52
20090104,51.9
20090104,51.9
20090104,51.8
20090104,51.7
20090104,51.8
20090104,51.5
20090104,51.5
20090105,51.6
20090105,51.6
20090105,51.8
20090105,51.4
20090105,51.3
20090105,51.4
20090105,51.3
20090105,51.3
20090105,51.5
20090105,51.3
20090105,51.5
20090105,51.5
20090105,51.3
20090105,51.1
20090105,51.2
20090105,51
20090105,50.9
20090105,50.9
20090105,50.8
20090105,50.8
20090105,50.7
20090105,50.4
20090105,50.3
20090105,50.6
20090106,50.5
20090106,50.5
20090106,50.4
20090106,50.6
20090106,50.6
20090106,50.5
20090106,50.5
20090106,50.5
20090106,50.5
20090106,50.6
20090106,50.4
20090106,50.3
20090106,50.5
20090106,50.2
20090106,50.2
20090106,50.1
20090106,50.2
20090106,50.2
20090106,50.2
20090106,50.2
20090106,50.2
20090106,50.2
20090106,50.2
20090106,50.1
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50.2
20090107,50
20090107,50
20090107,50.1
20090107,50.2
20090107,50.1
20090107,50.2
20090107,49.9
20090107,50
20090107,49.8
20090107,49.9
20090107,49.8
20090108,50
20090108,50
20090108,50
20090108,50
20090108,50
20090108,50
20090108,50
20090108,50
20090108,50
20090108,50.1
20090108,50
20090108,49.8
20090108,49.7
20090108,49.7
20090108,49.5
20090108,49.7
20090108,49.4
20090108,49.4
20090108,49.3
20090108,49.3
20090108,49.2
20090108,49.2
20090108,49.3
20090108,49
20090109,49.2
20090109,49.2
20090109,49.2
20090109,49.2
20090109,49.3
20090109,49
20090109,49
20090109,49.1
20090109,49.1
20090109,49.1
20090109,49.1
20090109,49.2
20090109,48.9
20090109,48.9
20090109,49
20090109,49
20090109,48.7
20090109,48.7
20090109,48.9
20090109,48.9
20090109,48.8
20090109,48.9
20090109,48.8
20090109,48.9
20090110,48.9
20090110,49.4
20090110,49.2
20090110,49.3
20090110,49.6
20090110,49.6
20090110,49.8
20090110,49.8
20090110,49.7
20090110,49.7
20090110,49.8
20090110,49.8
20090110,49.8
20090110,49.8
20090110,49.9
20090110,49.8
20090110,49.9
20090110,49.5
20090110,49.4
20090110,49.5
20090110,49.4
20090110,49.4
20090110,49.4
20090110,49.5
20090111,49.5
20090111,49.4
20090111,49.4
20090111,49.4
20090111,49.5
20090111,49.4
20090111,49.4
20090111,49.4
20090111,49.5
20090111,49.5
20090111,49.5
20090111,49.5
20090111,49.3
20090111,49.2
20090111,49
20090111,49
20090111,49.2
20090111,48.9
20090111,48.9
20090111,48.9
20090111,48.9
20090111,49
20090111,48.7
20090111,48.8
20090112,48.9
20090112,48.9
20090112,48.9
20090112,48.5
20090112,48.9
20090112,48.9
20090112,48.9
20090112,48.9
20090112,48.9
20090112,48.9
20090112,48.9
20090112,49.1
20090112,48.8
20090112,48.7
20090112,48.7
20090112,48.5
20090112,48.5
20090112,48.4
20090112,48.4
20090112,48.4
20090112,48.4
20090112,48.3
20090112,48.2
20090112,48.3
20090113,48.3
20090113,48.6
20090113,48.6
20090113,48.4
20090113,48.6
20090113,48.6
20090113,48.6
20090113,48.5
20090113,48.4
20090113,48.4
20090113,48.4
20090113,48.5
20090113,48.4
20090113,48.2
20090113,48.2
20090113,48
20090113,48.2
20090113,48
20090113,48.1
20090113,48
20090113,48
20090113,47.9
20090113,47.9
20090113,47.9
20090114,47.8
20090114,47.9
20090114,47.8
20090114,47.9
20090114,47.9
20090114,48.2
20090114,47.9
20090114,48.2
20090114,48.2
20090114,48.2
20090114,48.2
20090114,48.2
20090114,47.9
20090114,48
20090114,47.9
20090114,47.9
20090114,47.8
20090114,47.7
20090114,47.7
20090114,47.8
20090114,47.9
20090114,47.7
20090114,47.6
20090114,47.7
20090115,47.8
20090115,47.8
20090115,47.8
20090115,47.7
20090115,47.7
20090115,47.7
20090115,47.7
20090115,47.9
20090115,47.9
20090115,47.8
20090115,47.9
20090115,47.7
20090115,47.9
20090115,47.7
20090115,47.7
20090115,47.5
20090115,47.3
20090115,47.4
20090115,47.3
20090115,47.3
20090115,47.4
20090115,47.4
20090115,47.1
20090115,47.3
20090116,47.4
20090116,47.4
20090116,47.4
20090116,47.3
20090116,47.3
20090116,47.3
20090116,47.3
20090116,47.4
20090116,47.2
20090116,47.2
20090116,47.3
20090116,47.4
20090116,47.4
20090116,47.2
20090116,47.2
20090116,47.1
20090116,46.9
20090116,46.9
20090116,47
20090116,46.9
20090116,46.8
20090116,46.9
20090116,46.6
20090116,46.9
20090117,46.8
20090117,46.9
20090117,46.9
20090117,46.9
20090117,46.9
20090117,46.8
20090117,46.9
20090117,46.9
20090117,46.8
20090117,46.9
20090117,46.9
20090117,46.9
20090117,47.1
20090117,47
20090117,47.4
20090117,47.6
20090117,47.4
20090117,47.5
20090117,47.7
20090117,47.9
20090117,48
20090117,48
20090117,48.3
20090117,48.1
20090118,48.2
20090118,48.3
20090118,48.2
20090118,48.5
20090118,48.3
20090118,48.7
20090118,48.5
20090118,48.5
20090118,48.6
20090118,48.6
20090118,48.6
20090118,49.1
20090118,49.2
20090118,49.6
20090118,50.6
20090118,52
20090118,52.9
20090118,53
20090118,53.3
20090118,53.1
20090118,53.2
20090118,53
20090118,53
20090118,52.8
20090119,52.8
20090119,52.8
20090119,52.7
20090119,52.4
20090119,52.7
20090119,52.7
20090119,52.7
20090119,52.7
20090119,52.7
20090119,52.8
20090119,52.8
20090119,53.1
20090119,52.9
20090119,52.9
20090119,52.7
20090119,52.7
20090119,52.5
20090119,52.4
20090119,52.1
20090119,52
20090119,51.9
20090119,52.1
20090119,51.9
20090119,52
20090120,51.7
20090120,51.8
20090120,51.5
20090120,51.5
20090120,51.5
20090120,51.5
20090120,51.6
20090120,51.7
20090120,51.6
20090120,51.6
20090120,51.7
20090120,51.5
20090120,51.7
20090120,51.7
20090120,51.5
20090120,51.3
20090120,51.6
20090120,51.1
20090120,50.9
20090120,50.9
20090120,50.7
20090120,51
20090120,50.9
20090120,50.7
20090121,51
20090121,50.7
20090121,50.9
20090121,50.9
20090121,50.6
20090121,50.6
20090121,50.8
20090121,50.8
20090121,50.8
20090121,50.8
20090121,50.8
20090121,50.6
20090121,50.6
20090121,50.6
20090121,50.4
20090121,50.2
20090121,50.2
20090121,49.9
20090121,50
20090121,50
20090121,49.8
20090121,49.8
20090121,49.8
20090121,49.8
20090122,49.8
20090122,49.8
20090122,49.8
20090122,49.8
20090122,49.8
20090122,49.9
20090122,49.8
20090122,49.8
20090122,49.8
20090122,49.8
20090122,49.8
20090122,49.8
20090122,49.9
20090122,49.6
20090122,49.7
20090122,49.6
20090122,49.5
20090122,49.5
20090122,49.4
20090122,49.3
20090122,49.3
20090122,49.3
20090122,49.3
20090122,49.3
20090123,49.3
20090123,49.3
20090123,49.3
20090123,49.3
20090123,49.2
20090123,49.2
20090123,49.2
20090123,49.3
20090123,49.3
20090123,49.3
20090123,49.2
20090123,49.4
20090123,49.1
20090123,49.1
20090123,48.8
20090123,48.9
20090123,48.7
20090123,48.8
20090123,48.7
20090123,48.6
20090123,48.6
20090123,48.6
20090123,48.6
20090123,48.6
20090124,48.6
20090124,48.6
20090124,48.7
20090124,48.6
20090124,48.7
20090124,48.8
20090124,48.8
20090124,48.7
20090124,48.7
20090124,48.6
20090124,48.8
20090124,48.7
20090124,48.6
20090124,48.4
20090124,48.4
20090124,48.2
20090124,48.2
20090124,48
20090124,48
20090124,47.8
20090124,47.7
20090124,47.8
20090124,47.8
20090124,47.8
20090125,47.7
20090125,47.7
20090125,47.9
20090125,47.8
20090125,47.9
20090125,47.8
20090125,47.8
20090125,47.9
20090125,47.9
20090125,47.9
20090125,47.9
20090125,47.8
20090125,47.7
20090125,47.9
20090125,47.7
20090125,47.7
20090125,47.7
20090125,47.6
20090125,47.5
20090125,47.2
20090125,47.2
20090125,47.5
20090125,47.6
20090125,47.2
20090126,47.4
20090126,47.6
20090126,47.2
20090126,47.5
20090126,47.5
20090126,47.7
20090126,47.4
20090126,47.5
20090126,47.7
20090126,47.7
20090126,47.7
20090126,47.5
20090126,47.4
20090126,47.4
20090126,47.3
20090126,47.1
20090126,47.2
20090126,47
20090126,47.1
20090126,47.1
20090126,47
20090126,47
20090126,46.7
20090126,46.7
20090127,47.1
20090127,46.9
20090127,46.9
20090127,47.2
20090127,47.2
20090127,46.9
20090127,47.1
20090127,47.2
20090127,47.2
20090127,47
20090127,47.1
20090127,47.1
20090127,47.1
20090127,47
20090127,46.9
20090127,47
20090127,46.7
20090127,46.9
20090127,46.6
20090127,46.9
20090127,46.5
20090127,46.6
20090127,46.8
20090127,46.7
20090128,46.9
20090128,46.9
20090128,46.9
20090128,46.9
20090128,47.1
20090128,46.9
20090128,46.8
20090128,47
20090128,47
20090128,47.1
20090128,47
20090128,47
20090128,47
20090128,47.1
20090128,46.9
20090128,46.8
20090128,46.8
20090128,46.8
20090128,46.8
20090128,46.6
20090128,46.6
20090128,46.6
20090128,46.5
20090128,46.7
20090129,46.6
20090129,46.6
20090129,46.7
20090129,46.7
20090129,46.8
20090129,46.7
20090129,46.7
20090129,46.7
20090129,46.7
20090129,46.6
20090129,46.7
20090129,46.7
20090129,46.8
20090129,46.6
20090129,46.5
20090129,46.5
20090129,46.5
20090129,46.4
20090129,46.4
20090129,46.4
20090129,46.4
20090129,46.3
20090129,46.4
20090129,46.4
20090130,46.6
20090130,46.3
20090130,46.6
20090130,46.6
20090130,46.6
20090130,46.6
20090130,46.5
20090130,46.5
20090130,46.5
20090130,46.5
20090130,46.5
20090130,46.6
20090130,46.6
20090130,46.6
20090130,46.5
20090130,46.5
20090130,46.5
20090130,46.5
20090130,46.5
20090130,46.6
20090130,46.6
20090130,46.5
20090130,46.5
20090130,46.5
20090131,46.5
20090131,46.9
20090131,46.8
20090131,46.6
20090131,46.7
20090131,46.7
20090131,46.7
20090131,46.8
20090131,46.9
20090131,46.8
20090131,46.7
20090131,46.7
20090131,46.8
20090131,46.6
20090131,46.5
20090131,46.7
20090131,46.4
20090131,46.4
20090131,46.6
20090131,46.6
20090131,46.5
20090131,46.5
20090131,46.5
20090131,46.2
20090201,46.2
20090201,46.4
20090201,46.6
20090201,46.4
20090201,46.4
20090201,46.4
20090201,46.4
20090201,46.4
20090201,46.4
20090201,46.4
20090201,46.4
20090201,46.4
20090201,46.5
20090201,46.3
20090201,46.5
20090201,46.4
20090201,46.4
20090201,46.4
20090201,46.4
20090201,46.2
20090201,46.3
20090201,46.3
20090201,46.4
20090201,46.4
20090202,46.3
20090202,46.4
20090202,46.3
20090202,46.4
20090202,46.4
20090202,46.4
20090202,46.4
20090202,46.4
20090202,46.4
20090202,46.4
20090202,46.4
20090202,46.4
20090202,46.3
20090202,46.1
20090202,45.9
20090202,45.9
20090202,45.8
20090202,45.7
20090202,45.6
20090202,45.6
20090202,45.6
20090202,45.6
20090202,45.6
20090202,45.6
20090203,45.6
20090203,45.6
20090203,45.6
20090203,45.6
20090203,45.6
20090203,45.8
20090203,45.6
20090203,45.8
20090203,45.8
20090203,45.7
20090203,45.8
20090203,45.7
20090203,45.8
20090203,45.8
20090203,45.6
20090203,45.6
20090203,45.4
20090203,45.5
20090203,45.4
20090203,45.3
20090203,45.3
20090203,45.3
20090203,45.3
20090203,45.3
20090204,45.4
20090204,45.4
20090204,45.5
20090204,45.3
20090204,45.4
20090204,45.4
20090204,45.5
20090204,45.5
20090204,45.8
20090204,45.8
20090204,45.5
20090204,45.8
20090204,45.6
20090204,45.6
20090204,45.6
20090204,45.7
20090204,45.9
20090204,45.6
20090204,45.7
20090204,46
20090204,45.6
20090204,45.8
20090204,45.9
20090204,45.9
20090205,45.9
20090205,45.9
20090205,45.8
20090205,45.7
20090205,45.8
20090205,45.7
20090205,45.8
20090205,45.8
20090205,45.8
20090205,45.9
20090205,45.8
20090205,45.7
20090205,45.7
20090205,45.7
20090205,45.7
20090205,45.8
20090205,45.6
20090205,45.3
20090205,45.3
20090205,45.3
20090205,45.3
20090205,45.3
20090205,45.5
20090205,45.3
20090206,45.3
20090206,45.3
20090206,45.5
20090206,45.3
20090206,45.3
20090206,45.3
20090206,45.6
20090206,45.6
20090206,45.6
20090206,45.6
20090206,45.4
20090206,45.5
20090206,45.3
20090206,45.5
20090206,45.3
20090206,45
20090206,45.2
20090206,45.2
20090206,45.2
20090206,44.8
20090206,44.9
20090206,44.9
20090206,44.8
20090206,44.8
20090207,44.9
20090207,45.2
20090207,44.8
20090207,44.8
20090207,44.8
20090207,45.1
20090207,45.2
20090207,45.2
20090207,45.1
20090207,45.1
20090207,45
20090207,44.9
20090207,45.2
20090207,45
20090207,44.7
20090207,44.8
20090207,44.6
20090207,44.5
20090207,44.4
20090207,44.4
20090207,44.4
20090207,44.4
20090207,44.4
20090207,44.3
20090208,44.4
20090208,44.4
20090208,44.4
20090208,44.4
20090208,44.4
20090208,44.4
20090208,44.4
20090208,44.4
20090208,44.4
20090208,44.4
20090208,44.4
20090208,44.3
20090208,44.4
20090208,44.2
20090208,44.1
20090208,43.9
20090208,43.7
20090208,43.5
20090208,43.6
20090208,43.5
20090208,43.5
20090208,43.4
20090208,43.4
20090208,43.4
20090209,43.4
20090209,43.4
20090209,43.4
20090209,43.4
20090209,43.4
20090209,43.4
20090209,43.4
20090209,43.5
20090209,43.4
20090209,43.4
20090209,43.5
20090209,43.2
20090209,43.3
20090209,43
20090209,43
20090209,42.9
20090209,43
20090209,42.7
20090209,42.4
20090209,42.6
20090209,42.6
20090209,42.6
20090209,42.6
20090209,42.6
20090210,42.6
20090210,42.6
20090210,42.6
20090210,42.5
20090210,42.7
20090210,42.8
20090210,42.7
20090210,42.8
20090210,42.7
20090210,42.8
20090210,42.8
20090210,42.6
20090210,42.4
20090210,42.3
20090210,42.2
20090210,42
20090210,41.9
20090210,41.9
20090210,41.8
20090210,41.7
20090210,41.7
20090210,41.6
20090210,41.7
20090210,41.7
20090211,41.7
20090211,41.6
20090211,41.7
20090211,41.6
20090211,41.7
20090211,41.9
20090211,41.8
20090211,41.8
20090211,41.6
20090211,41.8
20090211,41.6
20090211,41.7
20090211,41.8
20090211,41.4
20090211,41.6
20090211,41.4
20090211,41.3
20090211,41.3
20090211,41.3
20090211,41.2
20090211,41.1
20090211,41.3
20090211,41.3
20090211,41.3
20090212,41.3
20090212,41.3
20090212,41.3
20090212,41.3
20090212,41.3
20090212,41.4
20090212,41.4
20090212,41.4
20090212,43.1
20090212,43.4
20090212,44.1
20090212,44.6
20090212,44.9
20090212,45.3
20090212,45.9
20090212,47.2
20090212,47.7
20090212,47.8
20090212,48
20090212,47.9
20090212,47.8
20090212,47.9
20090212,47.7
20090212,47.6
20090213,47.7
20090213,47.6
20090213,47.4
20090213,47.4
20090213,47.6
20090213,47.5
20090213,47.3
20090213,47.3
20090213,47.3
20090213,47.2
20090213,47.3
20090213,47.3
20090213,47
20090213,47.2
20090213,47.2
20090213,47
20090213,47
20090213,46.9
20090213,47
20090213,47.1
20090213,46.8
20090213,46.7
20090213,46.9
20090213,46.8
20090214,46.5
20090214,46.6
20090214,46.6
20090214,46.6
20090214,46.7
20090214,46.5
20090214,46.5
20090214,46.6
20090214,46.6
20090214,46.4
20090214,46.6
20090214,46.4
20090214,46.5
20090214,46.4
20090214,46.4
20090214,46.2
20090214,46
20090214,45.9
20090214,45.9
20090214,45.7
20090214,45.6
20090214,45.6
20090214,45.9
20090214,45.7
20090215,45.8
20090215,45.4
20090215,45.5
20090215,45.8
20090215,45.8
20090215,45.6
20090215,45.7
20090215,45.7
20090215,45.6
20090215,45.6
20090215,45.6
20090215,45.8
20090215,45.4
20090215,45.5
20090215,45.5
20090215,45.3
20090215,45.3
20090215,45.3
20090215,45.3
20090215,45.1
20090215,45.1
20090215,45.3
20090215,45.2
20090215,45.1
20090216,45.3
20090216,45
20090216,45
20090216,45
20090216,45
20090216,45
20090216,45
20090216,45
20090216,44.9
20090216,45
20090216,45
20090216,45.1
20090216,44.9
20090216,45
20090216,44.8
20090216,44.7
20090216,44.7
20090216,44.5
20090216,44.4
20090216,44.4
20090216,44.3
20090216,44.4
20090216,44.4
20090216,44.2
20090217,44.3
20090217,44.2
20090217,44.2
20090217,44.2
20090217,44.4
20090217,44.4
20090217,44.4
20090217,44.5
20090217,44.4
20090217,44.1
20090217,44.4
20090217,44.3
20090217,44.3
20090217,44.1
20090217,43.9
20090217,43.9
20090217,43.8
20090217,43.9
20090217,43.7
20090217,43.7
20090217,43.9
20090217,43.8
20090217,43.9
20090217,43.8
20090218,43.9
20090218,43.6
20090218,43.8
20090218,43.7
20090218,43.7
20090218,43.7
20090218,43.7
20090218,43.7
20090218,43.7
20090218,43.6
20090218,43.6
20090218,43.6
20090218,43.6
20090218,43.5
20090218,43.6
20090218,43.4
20090218,43.2
20090218,43.2
20090218,43
20090218,43
20090218,43
20090218,43
20090218,43
20090218,43
20090219,43
20090219,43
20090219,43
20090219,43
20090219,43
20090219,43
20090219,43
20090219,43
20090219,42.8
20090219,42.9
20090219,42.8
20090219,42.9
20090219,42.7
20090219,42.6
20090219,42.6
20090219,42.4
20090219,42.6
20090219,42.2
20090219,42.1
20090219,42.2
20090219,42.2
20090219,42.2
20090219,42.1
20090219,42.2
20090220,42.2
20090220,42.1
20090220,42.2
20090220,42.4
20090220,42.7
20090220,43
20090220,43.8
20090220,45
20090220,48.3
20090220,49.3
20090220,50
20090220,50.2
20090220,50.5
20090220,50.8
20090220,50.8
20090220,50.9
20090220,50.6
20090220,50.6
20090220,50.4
20090220,50.3
20090220,50.2
20090220,50.4
20090220,50.7
20090220,51.3
20090221,52.3
20090221,52.7
20090221,52.7
20090221,52.7
20090221,53.1
20090221,53.1
20090221,53
20090221,52.7
20090221,52.5
20090221,52.5
20090221,52.4
20090221,52.2
20090221,51.8
20090221,51.5
20090221,51.3
20090221,51.3
20090221,50.8
20090221,50.7
20090221,50.5
20090221,50.4
20090221,50.2
20090221,50.2
20090221,50.2
20090221,50
20090222,50.2
20090222,49.7
20090222,49.8
20090222,49.8
20090222,49.7
20090222,49.6
20090222,49.6
20090222,49.6
20090222,49.7
20090222,49.8
20090222,49.6
20090222,49.6
20090222,49.7
20090222,49.8
20090222,50
20090222,50
20090222,50.3
20090222,50.2
20090222,50.5
20090222,50.7
20090222,51.4
20090222,51.5
20090222,51.7
20090222,52
20090223,52.3
20090223,52.2
20090223,52.4
20090223,52.4
20090223,52.5
20090223,52.5
20090223,52.3
20090223,52.3
20090223,52.1
20090223,52
20090223,52
20090223,51.9
20090223,51.9
20090223,51.6
20090223,51.7
20090223,51.5
20090223,51.4
20090223,51
20090223,50.9
20090223,50.8
20090223,50.9
20090223,50.6
20090223,50.6
20090223,50.8
20090224,50.6
20090224,50.4
20090224,50.5
20090224,50.3
20090224,50.3
20090224,50.4
20090224,50.5
20090224,50.6
20090224,50.2
20090224,50.2
20090224,50.3
20090224,50.2
20090224,50.2
20090224,49.8
20090224,50.2
20090224,50.2
20090224,50
20090224,49.6
20090224,50
20090224,49.7
20090224,49.5
20090224,49.6
20090224,49.5
20090224,49.4
20090225,49.4
20090225,49.5
20090225,49.6
20090225,49.7
20090225,49.6
20090225,49.6
20090225,49.3
20090225,49.2
20090225,49.6
20090225,49.7
20090225,49.4
20090225,49.5
20090225,49.4
20090225,49.3
20090225,49.3
20090225,49.3
20090225,49.1
20090225,49.2
20090225,49
20090225,48.9
20090225,49.1
20090225,49
20090225,49.1
20090225,49.1
20090226,49
20090226,48.8
20090226,48.7
20090226,48.7
20090226,48.9
20090226,48.8
20090226,49.1
20090226,48.9
20090226,48.9
20090226,48.9
20090226,48.9
20090226,48.9
20090226,48.9
20090226,48.7
20090226,48.8
20090226,48.7
20090226,48.7
20090226,48.8
20090226,48.8
20090226,48.8
20090226,48.7
20090226,48.5
20090226,48.7
20090226,48.7
20090227,48.9
20090227,48.7
20090227,48.9
20090227,48.9
20090227,48.9
20090227,48.8
20090227,48.8
20090227,48.7
20090227,48.7
20090227,48.7
20090227,48.8
20090227,48.6
20090227,48.7
20090227,48.6
20090227,48.6
20090227,48.6
20090227,48.6
20090227,48.4
20090227,48.6
20090227,48.4
20090227,48.4
20090227,48.4
20090227,48.3
20090227,48.4
20090228,48.4
20090228,48.4
20090228,48.4
20090228,48.4
20090228,48.5
20090228,48.6
20090228,48.4
20090228,48.4
20090228,48.4
20090228,48.4
20090228,48.6
20090228,48.6
20090228,48.6
20090228,48.7
20090228,48.5
20090228,48.7
20090228,48.9
20090228,48.7
20090228,48.9
20090228,48.9
20090228,48.9
20090228,49.1
20090228,49.1
20090228,49
20090301,49.1
20090301,49.1
20090301,49.1
20090301,49.1
20090301,49
20090301,49.1
20090301,49.1
20090301,49.1
20090301,49.1
20090301,49.1
20090301,49.1
20090301,49.1
20090301,49.1
20090301,49.3
20090301,49.2
20090301,49.2
20090301,49.3
20090301,49.2
20090301,49.3
20090301,49.3
20090301,49.3
20090301,49.3
20090301,49.3
20090301,49.3
20090302,49.3
20090302,49.3
20090302,49.2
20090302,49.3
20090302,49.6
20090302,49.4
20090302,49.3
20090302,49.6
20090302,49.3
20090302,49.7
20090302,49.6
20090302,49.6
20090302,49.6
20090302,49.5
20090302,49.6
20090302,49.6
20090302,49.6
20090302,49.5
20090302,49.4
20090302,49.5
20090302,49.7
20090302,49.7
20090302,49.6
20090302,49.7
20090303,49.6
20090303,49.6
20090303,49.6
20090303,49.6
20090303,49.6
20090303,49.7
20090303,49.6
20090303,49.6
20090303,49.6
20090303,49.4
20090303,49.4
20090303,49.6
20090303,49.3
20090303,49.2
20090303,49.5
20090303,49.1
20090303,49.1
20090303,49.1
20090303,48.9
20090303,48.9
20090303,48.9
20090303,48.9
20090303,48.9
20090303,48.9
20090304,48.7
20090304,48.7
20090304,48.7
20090304,48.7
20090304,48.7
20090304,48.7
20090304,48.8
20090304,48.8
20090304,48.8
20090304,48.9
20090304,48.9
20090304,48.8
20090304,48.9
20090304,48.8
20090304,48.7
20090304,48.7
20090304,48.6
20090304,48.7
20090304,48.4
20090304,48.3
20090304,48.4
20090304,48.3
20090304,48.4
20090304,48.4
20090305,48.4
20090305,48.4
20090305,48.4
20090305,48.1
20090305,48.2
20090305,48.4
20090305,48.4
20090305,48.4
20090305,48.3
20090305,48.3
20090305,48.6
20090305,48.2
20090305,48.5
20090305,48.4
20090305,48.6
20090305,48.2
20090305,48.5
20090305,48.3
20090305,48.2
20090305,48.3
20090305,48.4
20090305,48.4
20090305,48.3
20090305,48.5
20090306,48.5
20090306,48.4
20090306,48.4
20090306,48.7
20090306,48.5
20090306,48.8
20090306,50.4
20090306,51.9
20090306,52.6
20090306,54.1
20090306,55
20090306,54.8
20090306,54.3
20090306,54.1
20090306,53.8
20090306,53.5
20090306,53.2
20090306,53
20090306,52.8
20090306,52.7
20090306,52.5
20090306,52.5
20090306,52.4
20090306,52.3
20090307,52.1
20090307,52.4
20090307,52.3
20090307,52.8
20090307,52.9
20090307,53
20090307,52.8
20090307,52.7
20090307,52.8
20090307,52.8
20090307,52.5
20090307,52.5
20090307,52.3
20090307,52.2
20090307,52.4
20090307,51.9
20090307,51.9
20090307,51.7
20090307,51.5
20090307,51.5
20090307,51.5
20090307,51.5
20090307,51.2
20090307,51.2
20090308,51.3
20090308,51.1
20090308,51.1
20090308,50.9
20090308,50.9
20090308,50.8
20090308,50.7
20090308,51
20090308,50.9
20090308,50.9
20090308,51
20090308,50.8
20090308,50.8
20090308,50.8
20090308,50.9
20090308,50.9
20090308,50.9
20090308,50.5
20090308,50.8
20090308,50.8
20090308,50.6
20090308,50.8
20090308,50.5
20090308,50.5
20090309,50.5
20090309,50.5
20090309,50.6
20090309,50.6
20090309,51
20090309,50.8
20090309,50.9
20090309,51
20090309,51.1
20090309,51.6
20090309,51.5
20090309,51.5
20090309,51.5
20090309,51.6
20090309,51.5
20090309,51.5
20090309,51.5
20090309,51.7
20090309,51.6
20090309,51.6
20090309,51.5
20090309,51.5
20090309,51.5
20090309,51.5
20090310,51.5
20090310,51.5
20090310,51.5
20090310,51.5
20090310,51.5
20090310,51.5
20090310,51.6
20090310,51.5
20090310,51.5
20090310,51.7
20090310,51.7
20090310,51.8
20090310,52.1
20090310,52.3
20090310,52.3
20090310,52.3
20090310,52.5
20090310,52.4
20090310,52.6
20090310,53
20090310,53.7
20090310,54.2
20090310,54.1
20090310,54.4
20090311,54.6
20090311,54.9
20090311,55.6
20090311,55
20090311,55.6
20090311,56.3
20090311,58.2
20090311,58.7
20090311,58.7
20090311,58.5
20090311,57.9
20090311,57.5
20090311,57.1
20090311,56.5
20090311,56
20090311,55.8
20090311,55.2
20090311,54.9
20090311,54.7
20090311,54.4
20090311,54.2
20090311,54.2
20090311,54
20090311,53.6
20090312,53.7
20090312,53.6
20090312,53.5
20090312,53.3
20090312,53.2
20090312,53.1
20090312,53.3
20090312,53.1
20090312,53
20090312,53.1
20090312,53.2
20090312,52.9
20090312,52.8
20090312,52.8
20090312,52.6
20090312,52.7
20090312,52.4
20090312,52.4
20090312,52.1
20090312,52
20090312,52
20090312,52.1
20090312,52.1
20090312,51.9
20090313,52
20090313,51.9
20090313,51.7
20090313,51.9
20090313,51.8
20090313,51.5
20090313,51.8
20090313,51.6
20090313,51.7
20090313,51.5
20090313,51.7
20090313,51.8
20090313,51.5
20090313,51.5
20090313,51.4
20090313,51.3
20090313,51.1
20090313,51
20090313,50.9
20090313,50.9
20090313,50.9
20090313,50.9
20090313,50.9
20090313,51
20090314,50.8
20090314,50.9
20090314,50.6
20090314,50.5
20090314,50.5
20090314,50.6
20090314,50.7
20090314,50.7
20090314,50.7
20090314,50.7
20090314,50.7
20090314,50.6
20090314,50.5
20090314,50.3
20090314,50.5
20090314,50.6
20090314,50.4
20090314,50.2
20090314,50.2
20090314,50
20090314,50
20090314,50
20090314,50
20090314,50
20090315,50
20090315,50
20090315,50
20090315,50
20090315,50
20090315,50
20090315,50
20090315,49.9
20090315,49.8
20090315,50
20090315,50
20090315,50
20090315,50
20090315,50
20090315,49.9
20090315,49.9
20090315,49.7
20090315,49.6
20090315,49.7
20090315,49.7
20090315,49.7
20090315,49.7
20090315,49.7
20090315,49.6
20090316,49.6
20090316,49.6
20090316,49.5
20090316,49.6
20090316,49.5
20090316,49.4
20090316,49.4
20090316,49.6
20090316,49.7
20090316,49.6
